MONEDA; MONTODEUDASOL ;EQUIPO;Fecha Desembolso;Dias desde Desembolso;TEA DESEMBOLSO PROMEDIO (%);TEA OFERTA;NIVEL DE PRIORIDAD;
SOLES;204959;Bex Digital 16;1/11/2017;1236;8,24%;7,24%;Prioridad 4;
SOLES;263535;Bex Digital 2 ;1/10/2020;171;6,10%;5,10%;Prioridad 4;
SOLES;203261;Bex Digital 6 ;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;251791;Bex Digital 10;1/10/2018;902;7,05%;6,05%;Prioridad 1;
SOLES;304707;Bex Digital 7 ;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;220197;Bex Digital 5 ;1/8/2015;2059;8,19%;7,19%;Prioridad 1;
SOLES;439258;Bex Digital 7 ;1/6/2019;659;7,98%;6,98%;Prioridad 4;
SOLES;287326;Bex Digital 12;1/3/2017;1481;8,61%;7,61%;Prioridad 4;
SOLES;540746;Bex Digital 15;1/10/2019;537;6,96%;5,96%;Prioridad 4;
SOLES;228478;Bex Digital 9 ;1/10/2020;171;6,10%;5,10%;Prioridad 4;
SOLES;326313;Bex Digital 2 ;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;479500;Bex Digital 9 ;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;300147;Bex Digital 20;1/7/2017;1359;8,34%;7,34%;Prioridad 4;
SOLES;375674;Bex Digital 20;1/7/2020;263;6,44%;5,44%;Prioridad 3;
SOLES;262658;Bex Digital 20;1/9/2020;201;5,84%;5,00%;Prioridad 4;
SOLES;562000;Bex Digital 4 ;1/11/2020;140;6,37%;5,37%;Prioridad 4;
SOLES;369367;Bex Digital 5 ;1/12/2015;1937;8,54%;7,54%;Prioridad 1;
SOLES;607063;Bex Digital 11;1/12/2019;476;6,84%;5,84%;Prioridad 4;
SOLES;264614;Bex Digital 5 ;1/1/2019;810;7,86%;6,86%;Prioridad 3;
SOLES;312867;Bex Digital 14;1/2/2018;1144;7,45%;6,45%;Prioridad 4;
SOLES;271754;Bex Digital 11;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;949181;Bex Digital 17;1/7/2020;263;6,44%;5,44%;Prioridad 3;
SOLES;346384;Bex Digital 1;1/7/2017;1359;8,34%;7,34%;Prioridad 4;
SOLES;217216;Bex Digital 9 ;1/8/2015;2059;8,19%;7,19%;Prioridad 1;
