Edad;Sexo;Alcance;Impresiones;Frecuencia;Resultados;Costo por resultado;Importe gastado (USD);CPM (costo por mil impresiones);Clics en el enlace;CPC (costo por clic en el enlace);CTR (porcentaje de clics en el enlace);ROAS;Tasa de resultados;Clics (todos);CPC (todos);CTR (todos);Comentarios de la publicación;Reacciones a la publicación;Interacción con una publicación;Veces que se compartió la publicación;Valor de conversión de compras;Pagos iniciados;Costo por pago iniciado;;;;;;;;
35-44;unknown;24;28;1.17;;;0.40;14.28571429;;;;;;0;;0.00;;;10;;;;;;;;;;;;
45-54;female;16;16;1.00;;;0.40;25;;;;;;0;;0.00;;;4;;;;;;;;;;;;
35-44;female;54;55;1.02;;;0.39;7.09090909;1;0.390;1.818;;;1;0.390;1.82;;1;19;;;;;;;;;;;;
45-54;female;24;24;1.00;;;0.39;16.25;1;0.390;4.167;;;1;0.390;4.17;;1;11;;;;;;;;;;;;
45-54;unknown;20;20;1.00;;;0.39;19.5;;;;;;1;0.390;5.00;;;9;1;;;;;;;;;;;
45-54;unknown;12;16;1.33;;;0.38;23.75178908;1;0.380;6.250;;;1;0.380;6.25;;;10;;;;;;;;;;;;
18-24;male;42;43;1.02;;;0.38;8.8372093;;;;;;0;;0.00;;;16;1;;;;;;;;;;;
25-34;unknown;35;35;1.00;;;0.38;10.85714286;;;;;;0;;0.00;;;16;;;;;;;;;;;;
45-54;unknown;16;27;1.69;;;0.37;13.7037037;;;;;;0;;0.00;;;15;;;;;;;;;;;;
55-64;unknown;8;14;1.75;;;0.36;25.71428571;;;;;;0;;0.00;;;8;;;;;;;;;;;;
35-44;female;35;35;1.00;;;0.36;10.28571429;1;0.360;2.857;;;1;0.360;2.86;;1;19;;;;;;;;;;;;
18-24;female;39;39;1.00;;;0.36;9.23076923;;;;;;0;;0.00;;;10;;;;;;;;;;;;
65+;unknown;20;20;1.00;;;0.36;17.99914078;1;0.360;5.000;;;2;0.180;10.00;;;13;;;;;;;;;;;;
18-24;unknown;40;65;1.63;;;0.36;5.53819716;2;0.180;3.077;;;2;0.180;3.08;;;23;;;1;0.36;;;;;;;;
55-64;unknown;10;10;1.00;;;0.35;35;;;;;;0;;0.00;;;6;;;;;;;;;;;;
18-24;unknown;25;25;1.00;;;0.34;13.60035246;1;0.340;4.000;;;2;0.170;8.00;;;12;;;;;;;;;;;;
45-54;unknown;12;18;1.50;;;0.34;18.88888889;;;;;;0;;0.00;;;10;;;;;;;;;;;;
65+;female;17;17;1.00;;;0.34;20;;;;;;0;;0.00;;;6;;;;;;;;;;;;
25-34;unknown;27;27;1.00;;;0.33;12.22222222;;;;;;0;;0.00;;;8;;;;;;;;;;;;
18-24;unknown;16;40;2.50;;;0.32;8;;;;;;0;;0.00;;;14;;;;;;;;;;;;
55-64;female;4;4;1.00;;;0.32;80;;;;;;0;;0.00;;;2;;;;;;;;;;;;
35-44;unknown;24;39;1.63;;;0.32;8.20512821;;;;;;0;;0.00;;;22;;;;;;;;;;;;
55-64;female;12;12;1.00;;;0.31;25.83333333;;;;;;0;;0.00;;;7;;;;;;;;;;;;
45-54;female;36;36;1.00;;;0.31;8.61111111;;;;;;0;;0.00;;;13;;;;;;;;;;;;
18-24;unknown;36;36;1.00;;;0.30;8.33333333;;;;;;2;0.150;5.56;;1;19;;;;;;;;;;;;
65+;male;22;22;1.00;;;0.28;12.72823147;1;0.280;4.545;;;2;0.140;9.09;;;15;;;;;;;;;;;;
55-64;unknown;0;12;0.00;;;0.28;23.33393804;;;;;;0;;0.00;;;4;;;;;;;;;;;;
55-64;unknown;19;19;1.00;;;0.28;14.73684211;;;;;;0;;0.00;;;13;;;;;;;;;;;;
55-64;unknown;4;8;2.00;;;0.27;33.75145996;;;;;;0;;0.00;;;2;;;;;;;;;;;;
25-34;unknown;18;24;1.33;;;0.27;11.25;1;0.270;4.167;;;3;0.090;12.50;;1;13;;;;;;;;;;;;
18-24;female;58;58;1.00;;;0.26;4.48275862;1;0.260;1.724;;;1;0.260;1.72;;;16;;;;;;;;;;;;
55-64;unknown;4;10;2.50;;;0.26;26;1;0.260;10.000;;;1;0.260;10.00;;;9;;;;;;;;;;;;
65+;unknown;5;5;1.00;;;0.26;52;;;;;;0;;0.00;;;3;;;;;;;;;;;;
65+;unknown;16;28;1.75;;;0.24;8.57142857;;;;;;1;0.240;3.57;;;10;;;;;;;;;;;;
35-44;male;11;11;1.00;;;0.24;21.81818182;;;;;;0;;0.00;;;7;1;;;;;;;;;;;
18-24;unknown;16;25;1.56;;;0.23;9.2;2;0.115;8.000;;;4;0.058;16.00;1;;18;;;;;;;;;;;;
18-24;female;58;58;1.00;;;0.23;3.96551724;;;;;;0;;0.00;;;17;;;;;;;;;;;;
18-24;unknown;19;19;1.00;;;0.22;11.57894737;;;;;;0;;0.00;;;9;;;;;;;;;;;;
35-44;unknown;25;25;1.00;;;0.22;8.8;;;;;;0;;0.00;;;16;;;;;;;;;;;;
45-54;unknown;0;25;0.00;;;0.22;8.8;1;0.220;4.000;;;1;0.220;4.00;;;15;;;;;;;;;;;;
55-64;female;11;11;1.00;;;0.22;20;;;;;;0;;0.00;;;3;;;;;;;;;;;;
65+;unknown;4;6;1.50;;;0.22;36.66666667;1;0.220;16.667;;;1;0.220;16.67;;;3;;;;;;;;;;;;
45-54;female;21;21;1.00;;;0.20;9.52380952;;;;;;0;;0.00;;1;10;;;;;;;;;;;;
45-54;male;7;7;1.00;;;0.20;28.57142857;1;0.200;14.286;;;1;0.200;14.29;;;6;;;;;;;;;;;;
